Categoria,Tipo de Indices ,Ano,Mês,date,Comentarios,Global,Comércio,Alojamento e restauração,Transporte e armazenagem,Indústria,Electricidade,Água e saneamento,Outros serviços
Índices,Emprego,1989,1,Jan-89,"Os resultados dos Índices de Actividades Económicas do mês de Janeiro de 2023, quando comparados com os do mês anterior, revelam uma queda do índice de volume de negócios em 6,8%. Os índices de remunerações e de emprego registaram crescimento de 1,8 % e 1,5% respectivamente. A variação negativa do volume de negócios, deveu-se ao decréscimo verificado nos sectores da Produção Industrial (14,2%), de Transportes e Armazenagem (9,6%), de Alojamento, Restauração e Similares (6,3%), de Comércio (3,7%), de Outros Serviços não Financeiros (1,4%) e de Energia, Água e Saneamento (0,6%). O crescimento ligeiro do índice de emprego no mês de Janeiro, foi resultado da variação positiva do indicador nos sectores da Produção Industrial e do sector de Comércio com 11,3% e 0,3% respectivamente. No mesmo período, os sectores de Transportes e Armazenagem, de Alojamento, Restauração e Similares e o sector de Outros Serviços não Financeiros registaram decréscimo de 0,4%, 0,3% e 0,1% respectivamente. A variação positiva de remunerações no período em referência, foi resultado do crescimento das remunerações nos sectores da Produção Industrial (6,6%), de Comércio (2,5%), de Outros Serviços não Financeiros (1,1%) e do sector dos Transportes e Armazenagem (0,1%). O sector de Alojamento, Restauração e Similares registou queda de 5,1%. Comparando os índices globais do mês de Janeiro de 2023 com os do período homólogo de 2022, os índices de volume de negócios, de remunerações e de emprego registaram crescimentos de 8,0%, 10,3% e 2,1% respectivamente.",119.7,108.4,85.8,95,147.8,177.9,90,132.8
Índices,Emprego,1989,2,fev/89,"Os resultados dos Índices de Actividades Económicas do mês de Janeiro de 2023, quando comparados com os do mês anterior, revelam uma queda do índice de volume de negócios em 6,8%. Os índices de remunerações e de emprego registaram crescimento de 1,8 % e 1,5% respectivamente. A variação negativa do volume de negócios, deveu-se ao decréscimo verificado nos sectores da Produção Industrial (14,2%), de Transportes e Armazenagem (9,6%), de Alojamento, Restauração e Similares (6,3%), de Comércio (3,7%), de Outros Serviços não Financeiros (1,4%) e de Energia, Água e Saneamento (0,6%). O crescimento ligeiro do índice de emprego no mês de Janeiro, foi resultado da variação positiva do indicador nos sectores da Produção Industrial e do sector de Comércio com 11,3% e 0,3% respectivamente. No mesmo período, os sectores de Transportes e Armazenagem, de Alojamento, Restauração e Similares e o sector de Outros Serviços não Financeiros registaram decréscimo de 0,4%, 0,3% e 0,1% respectivamente. A variação positiva de remunerações no período em referência, foi resultado do crescimento das remunerações nos sectores da Produção Industrial (6,6%), de Comércio (2,5%), de Outros Serviços não Financeiros (1,1%) e do sector dos Transportes e Armazenagem (0,1%). O sector de Alojamento, Restauração e Similares registou queda de 5,1%. Comparando os índices globais do mês de Janeiro de 2023 com os do período homólogo de 2022, os índices de volume de negócios, de remunerações e de emprego registaram crescimentos de 8,0%, 10,3% e 2,1% respectivamente.",122.9,157.9,84.2,89.2,123.9,154.2,113.8,136.8
Índices,Emprego,1989,3,Mar-89,"Os resultados dos Índices de Actividades Económicas do mês de Janeiro de 2023, quando comparados com os do mês anterior, revelam uma queda do índice de volume de negócios em 6,8%. Os índices de remunerações e de emprego registaram crescimento de 1,8 % e 1,5% respectivamente. A variação negativa do volume de negócios, deveu-se ao decréscimo verificado nos sectores da Produção Industrial (14,2%), de Transportes e Armazenagem (9,6%), de Alojamento, Restauração e Similares (6,3%), de Comércio (3,7%), de Outros Serviços não Financeiros (1,4%) e de Energia, Água e Saneamento (0,6%). O crescimento ligeiro do índice de emprego no mês de Janeiro, foi resultado da variação positiva do indicador nos sectores da Produção Industrial e do sector de Comércio com 11,3% e 0,3% respectivamente. No mesmo período, os sectores de Transportes e Armazenagem, de Alojamento, Restauração e Similares e o sector de Outros Serviços não Financeiros registaram decréscimo de 0,4%, 0,3% e 0,1% respectivamente. A variação positiva de remunerações no período em referência, foi resultado do crescimento das remunerações nos sectores da Produção Industrial (6,6%), de Comércio (2,5%), de Outros Serviços não Financeiros (1,1%) e do sector dos Transportes e Armazenagem (0,1%). O sector de Alojamento, Restauração e Similares registou queda de 5,1%. Comparando os índices globais do mês de Janeiro de 2023 com os do período homólogo de 2022, os índices de volume de negócios, de remunerações e de emprego registaram crescimentos de 8,0%, 10,3% e 2,1% respectivamente.",117.5,91.9,133.2,120.8,138.6,88.6,103.5,146.1
Índices,Emprego,1989,4,abr/89,"Os resultados dos Índices de Actividades Económicas do mês de Janeiro de 2023, quando comparados com os do mês anterior, revelam uma queda do índice de volume de negócios em 6,8%. Os índices de remunerações e de emprego registaram crescimento de 1,8 % e 1,5% respectivamente. A variação negativa do volume de negócios, deveu-se ao decréscimo verificado nos sectores da Produção Industrial (14,2%), de Transportes e Armazenagem (9,6%), de Alojamento, Restauração e Similares (6,3%), de Comércio (3,7%), de Outros Serviços não Financeiros (1,4%) e de Energia, Água e Saneamento (0,6%). O crescimento ligeiro do índice de emprego no mês de Janeiro, foi resultado da variação positiva do indicador nos sectores da Produção Industrial e do sector de Comércio com 11,3% e 0,3% respectivamente. No mesmo período, os sectores de Transportes e Armazenagem, de Alojamento, Restauração e Similares e o sector de Outros Serviços não Financeiros registaram decréscimo de 0,4%, 0,3% e 0,1% respectivamente. A variação positiva de remunerações no período em referência, foi resultado do crescimento das remunerações nos sectores da Produção Industrial (6,6%), de Comércio (2,5%), de Outros Serviços não Financeiros (1,1%) e do sector dos Transportes e Armazenagem (0,1%). O sector de Alojamento, Restauração e Similares registou queda de 5,1%. Comparando os índices globais do mês de Janeiro de 2023 com os do período homólogo de 2022, os índices de volume de negócios, de remunerações e de emprego registaram crescimentos de 8,0%, 10,3% e 2,1% respectivamente.",128.2,116.1,156.9,86.9,140.1,162.5,100.8,134.1
Índices,Emprego,1989,5,mai/89,"Os resultados dos Índices de Actividades Económicas do mês de Janeiro de 2023, quando comparados com os do mês anterior, revelam uma queda do índice de volume de negócios em 6,8%. Os índices de remunerações e de emprego registaram crescimento de 1,8 % e 1,5% respectivamente. A variação negativa do volume de negócios, deveu-se ao decréscimo verificado nos sectores da Produção Industrial (14,2%), de Transportes e Armazenagem (9,6%), de Alojamento, Restauração e Similares (6,3%), de Comércio (3,7%), de Outros Serviços não Financeiros (1,4%) e de Energia, Água e Saneamento (0,6%). O crescimento ligeiro do índice de emprego no mês de Janeiro, foi resultado da variação positiva do indicador nos sectores da Produção Industrial e do sector de Comércio com 11,3% e 0,3% respectivamente. No mesmo período, os sectores de Transportes e Armazenagem, de Alojamento, Restauração e Similares e o sector de Outros Serviços não Financeiros registaram decréscimo de 0,4%, 0,3% e 0,1% respectivamente. A variação positiva de remunerações no período em referência, foi resultado do crescimento das remunerações nos sectores da Produção Industrial (6,6%), de Comércio (2,5%), de Outros Serviços não Financeiros (1,1%) e do sector dos Transportes e Armazenagem (0,1%). O sector de Alojamento, Restauração e Similares registou queda de 5,1%. Comparando os índices globais do mês de Janeiro de 2023 com os do período homólogo de 2022, os índices de volume de negócios, de remunerações e de emprego registaram crescimentos de 8,0%, 10,3% e 2,1% respectivamente.",139.5,166.8,155,129.7,127.6,140.2,120.2,136.7
Índices,Emprego,1989,6,Jun-89,"Os resultados dos Índices de Actividades Económicas do mês de Janeiro de 2023, quando comparados com os do mês anterior, revelam uma queda do índice de volume de negócios em 6,8%. Os índices de remunerações e de emprego registaram crescimento de 1,8 % e 1,5% respectivamente. A variação negativa do volume de negócios, deveu-se ao decréscimo verificado nos sectores da Produção Industrial (14,2%), de Transportes e Armazenagem (9,6%), de Alojamento, Restauração e Similares (6,3%), de Comércio (3,7%), de Outros Serviços não Financeiros (1,4%) e de Energia, Água e Saneamento (0,6%). O crescimento ligeiro do índice de emprego no mês de Janeiro, foi resultado da variação positiva do indicador nos sectores da Produção Industrial e do sector de Comércio com 11,3% e 0,3% respectivamente. No mesmo período, os sectores de Transportes e Armazenagem, de Alojamento, Restauração e Similares e o sector de Outros Serviços não Financeiros registaram decréscimo de 0,4%, 0,3% e 0,1% respectivamente. A variação positiva de remunerações no período em referência, foi resultado do crescimento das remunerações nos sectores da Produção Industrial (6,6%), de Comércio (2,5%), de Outros Serviços não Financeiros (1,1%) e do sector dos Transportes e Armazenagem (0,1%). O sector de Alojamento, Restauração e Similares registou queda de 5,1%. Comparando os índices globais do mês de Janeiro de 2023 com os do período homólogo de 2022, os índices de volume de negócios, de remunerações e de emprego registaram crescimentos de 8,0%, 10,3% e 2,1% respectivamente.",141.9,142.8,172.8,164.2,129.8,108.4,131,144.5
Índices,Emprego,1989,7,Jul-89,"Os resultados dos Índices de Actividades Económicas do mês de Janeiro de 2023, quando comparados com os do mês anterior, revelam uma queda do índice de volume de negócios em 6,8%. Os índices de remunerações e de emprego registaram crescimento de 1,8 % e 1,5% respectivamente. A variação negativa do volume de negócios, deveu-se ao decréscimo verificado nos sectores da Produção Industrial (14,2%), de Transportes e Armazenagem (9,6%), de Alojamento, Restauração e Similares (6,3%), de Comércio (3,7%), de Outros Serviços não Financeiros (1,4%) e de Energia, Água e Saneamento (0,6%). O crescimento ligeiro do índice de emprego no mês de Janeiro, foi resultado da variação positiva do indicador nos sectores da Produção Industrial e do sector de Comércio com 11,3% e 0,3% respectivamente. No mesmo período, os sectores de Transportes e Armazenagem, de Alojamento, Restauração e Similares e o sector de Outros Serviços não Financeiros registaram decréscimo de 0,4%, 0,3% e 0,1% respectivamente. A variação positiva de remunerações no período em referência, foi resultado do crescimento das remunerações nos sectores da Produção Industrial (6,6%), de Comércio (2,5%), de Outros Serviços não Financeiros (1,1%) e do sector dos Transportes e Armazenagem (0,1%). O sector de Alojamento, Restauração e Similares registou queda de 5,1%. Comparando os índices globais do mês de Janeiro de 2023 com os do período homólogo de 2022, os índices de volume de negócios, de remunerações e de emprego registaram crescimentos de 8,0%, 10,3% e 2,1% respectivamente.",135.9,132.4,97.2,160.6,145.9,100.3,179.9,135.1
Índices,Emprego,1989,8,ago/89,"Os resultados dos Índices de Actividades Económicas do mês de Janeiro de 2023, quando comparados com os do mês anterior, revelam uma queda do índice de volume de negócios em 6,8%. Os índices de remunerações e de emprego registaram crescimento de 1,8 % e 1,5% respectivamente. A variação negativa do volume de negócios, deveu-se ao decréscimo verificado nos sectores da Produção Industrial (14,2%), de Transportes e Armazenagem (9,6%), de Alojamento, Restauração e Similares (6,3%), de Comércio (3,7%), de Outros Serviços não Financeiros (1,4%) e de Energia, Água e Saneamento (0,6%). O crescimento ligeiro do índice de emprego no mês de Janeiro, foi resultado da variação positiva do indicador nos sectores da Produção Industrial e do sector de Comércio com 11,3% e 0,3% respectivamente. No mesmo período, os sectores de Transportes e Armazenagem, de Alojamento, Restauração e Similares e o sector de Outros Serviços não Financeiros registaram decréscimo de 0,4%, 0,3% e 0,1% respectivamente. A variação positiva de remunerações no período em referência, foi resultado do crescimento das remunerações nos sectores da Produção Industrial (6,6%), de Comércio (2,5%), de Outros Serviços não Financeiros (1,1%) e do sector dos Transportes e Armazenagem (0,1%). O sector de Alojamento, Restauração e Similares registou queda de 5,1%. Comparando os índices globais do mês de Janeiro de 2023 com os do período homólogo de 2022, os índices de volume de negócios, de remunerações e de emprego registaram crescimentos de 8,0%, 10,3% e 2,1% respectivamente.",136.4,169.6,169.2,116.2,117.7,159.9,93.9,128.4
Índices,Emprego,1989,9,set/89,"Os resultados dos Índices de Actividades Económicas do mês de Janeiro de 2023, quando comparados com os do mês anterior, revelam uma queda do índice de volume de negócios em 6,8%. Os índices de remunerações e de emprego registaram crescimento de 1,8 % e 1,5% respectivamente. A variação negativa do volume de negócios, deveu-se ao decréscimo verificado nos sectores da Produção Industrial (14,2%), de Transportes e Armazenagem (9,6%), de Alojamento, Restauração e Similares (6,3%), de Comércio (3,7%), de Outros Serviços não Financeiros (1,4%) e de Energia, Água e Saneamento (0,6%). O crescimento ligeiro do índice de emprego no mês de Janeiro, foi resultado da variação positiva do indicador nos sectores da Produção Industrial e do sector de Comércio com 11,3% e 0,3% respectivamente. No mesmo período, os sectores de Transportes e Armazenagem, de Alojamento, Restauração e Similares e o sector de Outros Serviços não Financeiros registaram decréscimo de 0,4%, 0,3% e 0,1% respectivamente. A variação positiva de remunerações no período em referência, foi resultado do crescimento das remunerações nos sectores da Produção Industrial (6,6%), de Comércio (2,5%), de Outros Serviços não Financeiros (1,1%) e do sector dos Transportes e Armazenagem (0,1%). O sector de Alojamento, Restauração e Similares registou queda de 5,1%. Comparando os índices globais do mês de Janeiro de 2023 com os do período homólogo de 2022, os índices de volume de negócios, de remunerações e de emprego registaram crescimentos de 8,0%, 10,3% e 2,1% respectivamente.",136.3,124.6,112.4,99.1,135.4,174,168.9,140
Índices,Emprego,1989,10,out/89,"Os resultados dos Índices de Actividades Económicas do mês de Janeiro de 2023, quando comparados com os do mês anterior, revelam uma queda do índice de volume de negócios em 6,8%. Os índices de remunerações e de emprego registaram crescimento de 1,8 % e 1,5% respectivamente. A variação negativa do volume de negócios, deveu-se ao decréscimo verificado nos sectores da Produção Industrial (14,2%), de Transportes e Armazenagem (9,6%), de Alojamento, Restauração e Similares (6,3%), de Comércio (3,7%), de Outros Serviços não Financeiros (1,4%) e de Energia, Água e Saneamento (0,6%). O crescimento ligeiro do índice de emprego no mês de Janeiro, foi resultado da variação positiva do indicador nos sectores da Produção Industrial e do sector de Comércio com 11,3% e 0,3% respectivamente. No mesmo período, os sectores de Transportes e Armazenagem, de Alojamento, Restauração e Similares e o sector de Outros Serviços não Financeiros registaram decréscimo de 0,4%, 0,3% e 0,1% respectivamente. A variação positiva de remunerações no período em referência, foi resultado do crescimento das remunerações nos sectores da Produção Industrial (6,6%), de Comércio (2,5%), de Outros Serviços não Financeiros (1,1%) e do sector dos Transportes e Armazenagem (0,1%). O sector de Alojamento, Restauração e Similares registou queda de 5,1%. Comparando os índices globais do mês de Janeiro de 2023 com os do período homólogo de 2022, os índices de volume de negócios, de remunerações e de emprego registaram crescimentos de 8,0%, 10,3% e 2,1% respectivamente.",126.5,100.2,114.8,123.7,165,138.1,93.2,150.6
