Sector de actividade,CAE,Descrição do código da CAE,Nível de codificação,Distribuição do peso da divisão e grupo,Tipo de resultados,Categoria,Ano,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
Comércio,G,Comércio por grosso e a retalho; reparação de veículos automóveis e motociclos ,Secção,0,Índices,Volume de negócios,1989,96.7,179.5,164.9,149.8,81.8,130.3,147.9,96.1,148.1,107.7,119.4,84.2
Transporte e armazenagem,H,Transporte e armazenagem,Secção,0,Índices,Volume de negócios,1989,171,119,159.6,153.2,170.7,119.2,107.9,90,153.1,88,156.5,137
Outros serviços,J,Actividadesde informação e de comunicação ,Secção,0,Índices,Volume de negócios,1989,124.4,125.3,175.8,92.3,84.4,156.2,157.4,137.4,150.5,139.9,149.6,151.1
Outros serviços,K,Actividades financeiras e de seguros ,Secção,0,Índices,Volume de negócios,1989,172.8,106.6,144.8,97.6,99.8,117.6,112.1,92.4,112.6,129.7,135,97.2
Outros serviços,L, Actividades imobiliárias,Secção,0,Índices,Volume de negócios,1989,175.5,129.3,167.9,110.3,166,107.4,149.5,80.9,103.2,124.5,121.2,85.8
Outros serviços,M,"Actividades de consultoria, científicas, técnicas  e similares",Secção,0,Índices,Volume de negócios,1989,164.9,137,176.7,107.1,164.5,163.5,158.1,176.4,128,125.6,87.7,106.5
Outros serviços,N,Actividades administrativas e dos serviços de apoio ,Secção,0,Índices,Volume de negócios,1989,166.2,162.9,128.3,165.5,91.2,100.8,113.6,173.7,80.6,135,156.2,139
Outros serviços,P, Educação,Secção,0,Índices,Volume de negócios,1989,120.1,107.5,134.5,178.5,139,151.7,95.6,161.1,155.4,92.4,115.5,124.4
Outros serviços,Q,Actividades de saúde humana e acção social,Secção,0,Índices,Volume de negócios,1989,90.2,112.6,165.4,129.8,118.5,117.3,93.9,127.1,152.3,177.8,121.9,107.7
Outros serviços,R,"Actividades artísticas, especáculos, desportivos e recreativos ",Secção,0,Índices,Volume de negócios,1989,170.7,83,142.6,168.2,165.7,167.2,144.9,82.5,91.4,110,99.2,95.1
Outros serviços,S,Outras actividades de serviços,Secção,0,Índices,Volume de negócios,1989,103.8,105.9,112,163.1,166.9,162.9,161.6,166.8,117.3,94.6,139.4,178.3
Alojamento e restauração,I,"Alojamento,  restauração  e similares ",Secção,0,Índices,Volume de negócios,1989,85.7,124.3,125,162,151.3,88.8,129.3,167.7,146,157.6,174.4,156.9
Alojamento e restauração,55,Alojamento,Divisão,0,Índices,Volume de negócios,1989,98.9,123.2,134.8,107.5,82,98,121.4,127.2,133.5,145.6,94.9,100.4
Alojamento e restauração,56,Restauração e similares,Divisão,0,Índices,Volume de negócios,1989,90.8,122.3,152.3,101.5,140.9,130,133.2,173.4,161.8,170.2,175.8,163.9
Transporte e armazenagem,49,Transporte terrestres ; transpote por oleodutos ou gasodutos ,Divisão,0,Índices,Volume de negócios,1989,149.2,87.2,114.3,86.5,104.5,154.3,159.3,147.2,90.2,99.3,109.8,110.7
Transporte e armazenagem,50,Transporte por água ,Divisão,0,Índices,Volume de negócios,1989,151,169.8,89.5,93.9,143.7,132.2,116.3,85.6,115.8,163.9,108.8,114.1
Transporte e armazenagem,51,Transportes aéreos ,Divisão,0,Índices,Volume de negócios,1989,154.7,165,144.4,81.8,109.7,154.7,139.4,131.7,110,158.5,112.5,177.6
Transporte e armazenagem,52,  armazenagem  e actividades  auxiliares dos transportes (inclui manuseamento),Divisão,0,Índices,Volume de negócios,1989,178.1,171,161,95.6,124.2,133.2,178.8,117.7,80.2,134.4,80.5,172.9
Transporte e armazenagem,53,Actividades   postais e dos correios ,Divisão,0,Índices,Volume de negócios,1989,159,179.8,82.9,96.8,176,108.5,95.6,124.6,92.3,105.7,106.8,132.2
Outros serviços,58,Actividades  de edição,Divisão,0,Índices,Volume de negócios,1989,176.4,123.8,135.5,110.3,159.8,167.7,111.1,82.2,96.1,144.7,113.7,168.8
Outros serviços,59,"Actividades cinematográficas, de vídeo e produção de programas de televisão, edição de  música e gravação de som",Divisão,0,Índices,Volume de negócios,1989,117.2,91.4,172.5,121.6,146.8,93.3,172,130.9,122.4,148.3,171.7,120.1
Outros serviços,60,Actividades de rádio e  de televisão  ,Divisão,0,Índices,Volume de negócios,1989,113.5,89.6,154.6,163,86.7,140.8,165.9,164.1,135.2,160.6,125.8,88.4
Outros serviços,61,Telecomunicações,Divisão,0,Índices,Volume de negócios,1989,138.1,131.1,135.1,115.6,123.9,119.6,107,105.3,99.7,133.2,86.6,91.5
Outros serviços,62,Consultoria e programação  informática actividades  relacionadas  ,Divisão,0,Índices,Volume de negócios,1989,124.5,169,142.8,87.4,177.3,171.8,94.7,84.2,80.3,158.8,90.9,171.2
Outros serviços,63,Actividades dos serviços de informação,Divisão,0,Índices,Volume de negócios,1989,164.9,147.2,162.2,140.7,88.7,149.3,101.2,164.4,140.9,98,167.5,173
Outros serviços,65,"Seguros, ressguros e fundos de pensões, excepto segurança social obrigatória ",Divisão,0,Índices,Volume de negócios,1989,178.8,110.1,158.5,86.8,120.5,96.9,113.5,170,152.8,162.1,86,166.5
Outros serviços,68,Actividades imobiliárias ,Divisão,0,Índices,Volume de negócios,1989,168.3,148.6,85.2,149.7,101,158.5,176.8,119.4,130.2,86.7,171.9,92
Outros serviços,69,Actividades jurídicas e  de contabilidade,Divisão,0,Índices,Volume de negócios,1989,156,113.9,104.6,153.7,109.7,170.2,111.5,157.7,83.1,169.4,108.2,172.5
Outros serviços,70,Actividades das  sedes sociais e de consultoria para   negócios  e a gestão  ,Divisão,0,Índices,Volume de negócios,1989,80.3,100.8,150.9,158.6,103.2,106.2,106.4,135.8,127.8,156.5,127.4,115.9
Outros serviços,71,"Actividades de arquitectura, de engenharia e técnicas afins; actividades de ensaios e de análises técnicas ",Divisão,0,Índices,Volume de negócios,1989,93.9,158.5,176.3,179.6,115.8,179.9,105.3,159.9,123.7,157.6,106,84.8
Outros serviços,73," publicidade,  estudos de mercado e sondagens de opinião ",Divisão,0,Índices,Volume de negócios,1989,93.9,158.5,179.1,176.6,106.4,146,111.6,130.2,127.9,100.4,180,100.8
Outros serviços,74,"Outras actividades de consultoria,  científicas, técnicas e similares",Divisão,0,Índices,Volume de negócios,1989,126.1,97.3,107.7,148.8,136.8,164.9,83.2,80.1,118,140,171.8,125.1
Outros serviços,75,Actividades veterinarias,Divisão,0,Índices,Volume de negócios,1989,126.3,171.1,111.7,121.6,118.4,168,117.3,107.1,91.3,99.6,90.9,113.7
Outros serviços,77,Actividades de aluguer,Divisão,0,Índices,Volume de negócios,1989,91.6,85.9,146.3,84.6,149.1,167,142.2,109,105,144.4,169.6,110.2
Outros serviços,79,"Agências de viagem, operadores turísticos e outros serviços  de reservas  e actividades relacionadas ",Divisão,0,Índices,Volume de negócios,1989,93.6,83.1,97,135.6,105.2,129.1,130.3,109.1,177.4,168.6,163.3,157.4
Outros serviços,80,Actividades de investigação e segurança,Divisão,0,Índices,Volume de negócios,1989,86.6,154.3,84.6,101,179.2,100.7,136.5,153.1,105.3,93.4,100.8,151.9
Outros serviços,81,"Actividades relacionadas com edifícios, plantação e manutenção  de jardins ",Divisão,0,Índices,Volume de negócios,1989,88.4,110.8,95.1,116.1,151.2,107.4,110.3,97.7,162,129,98.8,100.9
Outros serviços,82,Actividades de serviços administrativos e  de apoio prestados ás empresas ,Divisão,0,Índices,Volume de negócios,1989,91.2,149.6,119.7,149.4,178.5,136.6,139.7,113.9,86,179.1,101.7,122.4
Outros serviços,85,Educação,Divisão,0,Índices,Volume de negócios,1989,164.4,158,84.9,116.6,154.8,155.1,84.1,105.7,104.1,123.9,173.3,121
Outros serviços,86,Actividades de saúde humana ,Divisão,0,Índices,Volume de negócios,1989,164.4,117.8,99.2,112.9,135,108.7,98.3,138.6,118.6,110.5,122.3,134.3
Outros serviços,92,Lotarias e outros jogos de aposta,Divisão,0,Índices,Volume de negócios,1989,90.2,174,173.8,138,100.9,131.2,136.5,167.3,175.5,137.6,107.7,109.9
Outros serviços,93,"Actividades desportivas, de diversão e   recreativas ",Divisão,0,Índices,Volume de negócios,1989,122.8,131.5,119.4,92.1,138,120,86.3,107.5,102.7,101.9,167.8,87.7
Outros serviços,95,Reparação de computadores e bens de uso pessoal e doméstico,Divisão,0,Índices,Volume de negócios,1989,95.2,165.1,152,119.2,107.8,162.6,112.2,164.2,103,129.5,102.2,168.9
Outros serviços,96,Outras actividades de serviços pessoais,Divisão,0,Índices,Volume de negócios,1989,179.8,168.3,150.3,154.3,175.6,101.7,102.8,117,101,155.8,92.1,93.3
Comércio,45,Comércio por grosso e a retalho; manutenção e reparação de veículos automóveis e motociclos ,Divisão,0,Índices,Volume de negócios,1989,107.6,148.5,99,144.2,166.7,95.4,135.5,124.8,150.2,123.5,102.1,113.3
Comércio,46,"Comércio por grosso (inclui  agentes) , excepto de  veículos automóveis e motociclos ",Divisão,0,Índices,Volume de negócios,1989,130.2,176.3,85.4,168.1,144.8,155.7,147.1,83.8,177.5,84.3,170.5,131
Comércio,47,"Comércio a retalho, excepto de veículos automóveis e motociclos ",Divisão,0,Índices,Volume de negócios,1989,89.3,116.8,98,86.1,170.7,85.8,105.4,162.8,150.4,103.2,121.9,140.4
Comércio,451,Comércio de veículos automóveis ,Grupo,0,Índices,Volume de negócios,1989,108.9,105.6,81.2,119.1,90.9,96.8,171.3,171,119.5,136.6,151.8,86.9
Comércio,452,Manutenção e reparação de veículos automóveis,Grupo,0,Índices,Volume de negócios,1989,135.5,86.2,121.8,164.7,165.5,115.5,125.6,80.4,163.6,155.1,111.4,82.8
Comércio,453,Comércio de peças e acessórios para veículos automóveis,Grupo,0,Índices,Volume de negócios,1989,135.5,145.8,137.9,107.6,129.5,147.2,162.8,167.1,111.3,114.3,155.2,95
Comércio,454,"Comércio, manutenção e reparação de motociclos, de suas peças e acessórios",Grupo,0,Índices,Volume de negócios,1989,134.1,139.4,178.9,165.7,97.1,133,108.7,91.5,163.5,143.9,94,150.7
Comércio,461,Agentes do comércio por grosso,Grupo,0,Índices,Volume de negócios,1989,107.1,121.9,88.3,149.8,125,156.2,140,95.5,157,118.2,122.7,152.5
Comércio,462,"Comércio por grosso de produtos agrícolas brutos, animais vivos",Grupo,0,Índices,Volume de negócios,1989,131.7,85.8,151.2,113.8,95.1,111.4,134.1,97,146.9,160.3,148.5,161.9
Comércio,463,"Comércio por grosso de  produtos alimentares, bebidas e tabaco",Grupo,0,Índices,Volume de negócios,1989,107.2,96.5,118.7,174.4,116.7,116.1,158.9,141.9,103.4,143.6,130.2,133.4
